-96.00  -96.00  -4.881110E-01  5.013878E-05  -3.488111E+00  3.076881E-04  -4.391205E+00  2.461527E-03  -4.874892E-01 1.002341E-05  
-94.40  -96.00  -4.881102E-01  5.013871E-05  -3.488111E+00  3.076879E-04  -4.391204E+00  2.461526E-03  -4.874885E-01 1.002338E-05  
-92.80  -96.00  -4.881095E-01  5.013865E-05  -3.488110E+00  3.076878E-04  -4.391204E+00  2.461525E-03  -4.874878E-01 1.002335E-05  
-91.20  -96.00  -4.881088E-01  5.013873E-05  -3.488110E+00  3.076873E-04  -4.391202E+00  2.461511E-03  -4.874870E-01 1.002337E-05  
-89.60  -96.00  -4.881080E-01  5.013881E-05  -3.488109E+00  3.076868E-04  -4.391200E+00  2.461497E-03  -4.874863E-01 1.002339E-05  
-88.00  -96.00  -4.881050E-01  5.013910E-05  -3.488106E+00  3.076846E-04  -4.391198E+00  2.461488E-03  -4.874833E-01 1.002346E-05  
-86.40  -96.00  -4.881020E-01  5.013937E-05  -3.488102E+00  3.076823E-04  -4.391196E+00  2.461479E-03  -4.874803E-01 1.002353E-05  
-84.80  -96.00  -4.881033E-01  5.013954E-05  -3.488102E+00  3.076822E-04  -4.391196E+00  2.461479E-03  -4.874815E-01 1.002356E-05  
-83.20  -96.00  -4.881045E-01  5.013970E-05  -3.488102E+00  3.076822E-04  -4.391196E+00  2.461478E-03  -4.874828E-01 1.002359E-05  
-81.60  -96.00  -4.881123E-01  5.013915E-05  -3.488110E+00  3.076877E-04  -4.391204E+00  2.461523E-03  -4.874906E-01 1.002349E-05  
-80.00  -96.00  -4.881201E-01  5.013861E-05  -3.488118E+00  3.076933E-04  -4.391212E+00  2.461567E-03  -4.874984E-01 1.002339E-05  
-78.40  -96.00  -4.881284E-01  5.013756E-05  -3.488128E+00  3.077007E-04  -4.391225E+00  2.461646E-03  -4.875066E-01 1.002321E-05  
-76.80  -96.00  -4.881366E-01  5.013651E-05  -3.488139E+00  3.077081E-04  -4.391240E+00  2.461724E-03  -4.875149E-01 1.002303E-05  
-75.20  -96.00  -4.881399E-01  5.013630E-05  -3.488142E+00  3.077106E-04  -4.391242E+00  2.461736E-03  -4.875181E-01 1.002298E-05  
-73.60  -96.00  -4.881431E-01  5.013610E-05  -3.488146E+00  3.077132E-04  -4.391243E+00  2.461747E-03  -4.875214E-01 1.002294E-05  
-72.00  -96.00  -4.881403E-01  5.013635E-05  -3.488143E+00  3.077110E-04  -4.391240E+00  2.461725E-03  -4.875185E-01 1.002297E-05  
-70.40  -96.00  -4.881374E-01  5.013660E-05  -3.488140E+00  3.077088E-04  -4.391236E+00  2.461703E-03  -4.875156E-01 1.002300E-05  
-68.80  -96.00  -4.881346E-01  5.013682E-05  -3.488137E+00  3.077071E-04  -4.391232E+00  2.461686E-03  -4.875128E-01 1.002304E-05  
-67.20  -96.00  -4.881318E-01  5.013704E-05  -3.488135E+00  3.077054E-04  -4.391230E+00  2.461670E-03  -4.875100E-01 1.002308E-05  
-65.60  -96.00  -4.881269E-01  5.013756E-05  -3.488130E+00  3.077015E-04  -4.391224E+00  2.461636E-03  -4.875051E-01 1.002316E-05  
-64.00  -96.00  -4.881220E-01  5.013808E-05  -3.488124E+00  3.076976E-04  -4.391218E+00  2.461603E-03  -4.875003E-01 1.002324E-05  
-62.40  -96.00  -4.881140E-01  5.013865E-05  -3.488116E+00  3.076920E-04  -4.391211E+00  2.461563E-03  -4.874923E-01 1.002336E-05  
-60.80  -96.00  -4.881060E-01  5.013922E-05  -3.488108E+00  3.076865E-04  -4.391204E+00  2.461524E-03  -4.874843E-01 1.002348E-05  
-59.20  -96.00  -4.881269E-01  5.013770E-05  -3.488128E+00  3.077002E-04  -4.391223E+00  2.461632E-03  -4.875051E-01 1.002317E-05  
-57.60  -96.00  -4.881478E-01  5.013619E-05  -3.488147E+00  3.077140E-04  -4.391243E+00  2.461741E-03  -4.875260E-01 1.002286E-05  
-56.00  -96.00  -4.882234E-01  5.013016E-05  -3.488222E+00  3.077668E-04  -4.391315E+00  2.462155E-03  -4.876016E-01 1.002171E-05  
-54.40  -96.00  -4.882991E-01  5.012414E-05  -3.488297E+00  3.078197E-04  -4.391388E+00  2.462570E-03  -4.876773E-01 1.002057E-05  
-52.80  -96.00  -4.883410E-01  5.012134E-05  -3.488339E+00  3.078500E-04  -4.391434E+00  2.462826E-03  -4.877192E-01 1.001992E-05  
-51.20  -96.00  -4.883829E-01  5.011854E-05  -3.488382E+00  3.078803E-04  -4.391479E+00  2.463082E-03  -4.877611E-01 1.001928E-05  
-49.60  -96.00  -4.884046E-01  5.011703E-05  -3.488413E+00  3.079026E-04  -4.391511E+00  2.463264E-03  -4.877827E-01 1.001890E-05  
-48.00  -96.00  -4.884262E-01  5.011552E-05  -3.488445E+00  3.079250E-04  -4.391543E+00  2.463446E-03  -4.878044E-01 1.001852E-05  
-46.40  -96.00  -4.884543E-01  5.011296E-05  -3.488462E+00  3.079368E-04  -4.391553E+00  2.463503E-03  -4.878325E-01 1.001807E-05  
-44.80  -96.00  -4.884825E-01  5.011041E-05  -3.488478E+00  3.079487E-04  -4.391563E+00  2.463560E-03  -4.878606E-01 1.001763E-05  
-43.20  -96.00  -4.885024E-01  5.010907E-05  -3.488489E+00  3.079563E-04  -4.391571E+00  2.463602E-03  -4.878805E-01 1.001732E-05  
-41.60  -96.00  -4.885224E-01  5.010774E-05  -3.488500E+00  3.079640E-04  -4.391578E+00  2.463644E-03  -4.879005E-01 1.001702E-05  
